"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0649131","-1.549038","","","","","-.0755321","-1.857398","-.0695919","-1.723144","","","-.0683355","-1.739722"
"3.ncounty",".0545857",".9777328","","","","",".0252267",".4354351",".03534",".6407236","","",".0435794",".7570694"
"4.ncounty","-.2266933","-6.701662","","","","","-.1192883","-3.745934","-.2114198","-6.41017","","","-.1156007","-3.682318"
"5.ncounty",".0370016",".7811602","","","","",".0471271","1.086998",".0107993",".234535","","",".0459915","1.086991"
"6.ncounty","-.1344691","-4.29733","","","","","-.1660982","-5.356162","-.2100005","-6.902967","","","-.2103214","-6.952444"
"7.ncounty","-.1868549","-7.45849","","","","","-.0742853","-2.65535","-.2381867","-9.828027","","","-.1036056","-3.791974"
"8.ncounty","-.1662979","-3.904283","","","","","-.0428107","-1.060262","-.2151315","-5.159574","","","-.0772861","-1.960875"
"9.ncounty","-.2331572","-5.252933","","","","","-.09943","-2.29716","-.2655051","-6.305852","","","-.1398965","-3.388104"
"10.ncounty","-.3809858","-3.26005","","","","","-.5718295","-4.738622","-.3898186","-3.65744","","","-.5395065","-4.796077"
"11.ncounty",".2166699","6.062066","","","","",".1855483","5.134975",".152888","4.443241","","",".1455566","4.160789"
"12.ncounty",".1639746","4.276116","","","","",".1297966","3.409612",".1465486","3.995401","","",".1343404","3.621107"
"13.ncounty","-.3518392","-7.869439","","","","","-.4120252","-9.185543","-.3712864","-8.594023","","","-.4094922","-9.424668"
"14.ncounty",".0853508","1.764315","","","","",".0355102",".7424234",".0546652","1.178148","","",".0436496",".9420643"
"15.ncounty","-.1060778","-3.036427","","","","","-.1020177","-2.946388","-.1409007","-4.191028","","","-.1260578","-3.765035"
"16.ncounty","-.0165443","-.3092822","","","","",".1319784","2.824979","-.0835816","-1.612275","","",".0860531","1.910619"
"17.ncounty","-.0716773","-1.373279","","","","","-.105183","-1.983443","-.0927926","-1.840097","","","-.0985821","-1.910495"
"18.ncounty","-.0701509","-.7930863","","","","","-.142181","-1.595328","-.0400945","-.4593934","","","-.1136976","-1.249587"
"19.ncounty","-.0195419","-.4662724","","","","",".0536712","1.326369","-.0811761","-1.992385","","",".0018499",".047333"
"20.ncounty","-.3416612","-10.69889","","","","","-.1327654","-3.884167","-.3629887","-11.71729","","","-.1466275","-4.375223"
"21.ncounty","-.7137482","-14.37056","","","","","-.2191658","-4.578792","-.7490214","-15.38361","","","-.2330773","-4.930747"
"22.ncounty","-.1080342","-3.800682","","","","","-.1392752","-4.833555","-.1730614","-6.289388","","","-.183967","-6.554587"
"23.ncounty","-.4196675","-3.268285","","","","","-.5729217","-4.194928","-.4860339","-4.081909","","","-.5994473","-4.413204"
"24.ncounty","-.2553179","-8.639425","","","","","-.0694642","-2.183055","-.3259478","-11.29126","","","-.133469","-4.276668"
"25.ncounty","-.2278667","-5.212328","","","","","-.2033477","-4.513622","-.314379","-7.280766","","","-.257797","-5.836218"
"26.ncounty",".1575497","2.688384","","","","",".1074844","1.906886",".0886165","1.594018","","",".0591847","1.095091"
"27.ncounty","-.5422171","-16.90691","","","","","-.3088457","-10.13094","-.5188385","-16.2747","","","-.2810672","-9.280668"
"28.ncounty",".0741278","1.373277","","","","",".0774152","1.392965",".0974823","1.910568","","",".1089761","2.072153"
"29.ncounty",".0653057","1.945229","","","","",".0409128","1.218039",".0696421","2.147475","","",".0637774","1.957567"
"30.ncounty",".0549943","1.347001","","","","",".017347",".4290423",".0700711","1.80015","","",".0492739","1.255413"
"31.ncounty",".2891723","8.129717","","","","",".3243115","8.930676",".2849547","8.345484","","",".3545701","10.06213"
"32.ncounty","-.5972107","-2.006771","","","","","-.5102465","-1.839782","-.5516274","-1.941603","","","-.3988754","-1.492349"
"33.ncounty","-.0348456","-.9288218","","","","",".0216351",".6127186","-.0480667","-1.317052","","",".0170916",".4997671"
"34.ncounty",".010559",".2241989","","","","",".0144952",".3007419",".0337463",".7504481","","",".0418696",".9045437"
"35.ncounty","-.0089716","-.2066501","","","","",".0386169",".9232378",".0207494",".496895","","",".065994","1.62642"
"36.ncounty",".1047401","3.418297","","","","",".1167345","3.793602",".1118536","3.841254","","",".1335253","4.526553"
"std_length",".0126795","3.149774","","","","",".0048538","1.163147","-.0223833","-5.192804","","","-.0265996","-5.926221"
"std_logdist","-.1703232","-22.20285","","","","","-.1134698","-12.37833","-.1305799","-16.93565","","","-.0899171","-9.868033"
"std_logpopdensity","","","-.0650151","-11.0002","","","-.0950456","-8.695851","","","-.0643226","-11.19616","-.0786499","-7.359312"
"std_incomediversity4adj","","",".178393","32.24416","","",".159854","28.72888","","",".1812759","33.51776",".1619061","29.79973"
"std_logpoi","","",".0874006","18.2668","","",".0678868","13.15848","","",".0393299","7.751598",".0184985","3.456809"
"std_logincome","","",".0810124","12.43225","","",".0666196","8.23874","","",".0833977","13.02274",".0813752","10.28759"
