"","rt2",""
"","b","t"
"std_length",".0095477","1.651684"
"std_logdist","-.1470862","-12.5195"
"std_logpopdensity","-.1516442","-10.99883"
"std_logincome",".0853708","9.570292"
"std_incomediversity4adj",".1936574","30.77972"
"1.ncounty","0","."
"2.ncounty","-.187082","-4.006797"
"3.ncounty",".0258869",".3973382"
"4.ncounty","-.1774476","-5.037249"
"5.ncounty",".0454279",".8826156"
"6.ncounty","-.2194038","-5.758892"
"7.ncounty","-.134876","-4.165191"
"8.ncounty","-.0981931","-2.061693"
"9.ncounty","-.3917188","-7.676677"
"10.ncounty","-.6416314","-4.732859"
"11.ncounty",".1642885","3.454014"
"12.ncounty",".1465598","3.036316"
"13.ncounty","-.5045354","-9.738471"
"14.ncounty",".1107159","1.916801"
"15.ncounty","-.1648927","-3.99511"
"16.ncounty",".0242912",".3745858"
"17.ncounty","-.2113215","-3.095887"
"18.ncounty","-.0591089","-.5689131"
"19.ncounty","-.0132738","-.2622187"
"20.ncounty","-.2720758","-7.58311"
"21.ncounty","-.3072885","-6.396032"
"22.ncounty","-.2210069","-6.468662"
"23.ncounty","-.4704031","-2.98095"
"24.ncounty","-.1769166","-4.884188"
"25.ncounty","-.3453151","-6.503483"
"26.ncounty",".1080309","1.481073"
"27.ncounty","-.4079592","-11.79671"
"28.ncounty",".0962575","1.45086"
"29.ncounty",".0187349",".4466004"
"30.ncounty",".0367069",".7414315"
"31.ncounty",".4000804","9.140759"
"32.ncounty","-.4290006","-1.24155"
"33.ncounty","-.0412978","-.9259454"
"34.ncounty",".0382981",".6335048"
"35.ncounty","-.0350356","-.670029"
"36.ncounty",".1457378","3.991866"
"std_logpoi",".1732928","26.22417"
"std_safety","-.0387226","-6.057135"
"_cons",".138657","5.998946"
"N","26110",""
"R-sq",".1559306",""
